🚀 正在初始化系统...
🔍 正在加载 Contriever 检索器...
📚 正在加载文档库...
📂 正在加载文件: /home/featurize/work/embeddings_1m/passages_00
📚 文档库加载完成，共 1000000 篇文档。
✅ 系统初始化完成
📂 正在加载数据集: professional_law 从 /home/featurize/work/mmlu_subset/professional_law.csv
✅ professional_law 加载完成，共 400 道题目
📂 正在加载数据集: moral_scenarios 从 /home/featurize/work/mmlu_subset/moral_scenarios.csv
✅ moral_scenarios 加载完成，共 400 道题目
📂 正在加载数据集: psychology 从 /home/featurize/work/mmlu_subset/psychology.csv
✅ psychology 加载完成，共 400 道题目
📂 正在加载数据集: mathematics 从 /home/featurize/work/mmlu_subset/mathematics.csv
✅ mathematics 加载完成，共 400 道题目

==================== 正在评测数据集: professional_law ====================
✅ 选取了 400 道题目 (数据集共 400 道)
题号: professional_law_0, 正确: True, 检索: 3.6497s, Rerank: 0.1972s, 生成: 2.6721s, 首字: 6.5895s, Rerank占比(总): 2.99%, Rerank占比(检): 5.13%
题号: professional_law_1, 正确: True, 检索: 3.5546s, Rerank: 0.0844s, 生成: 2.4263s, 首字: 6.1357s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_2, 正确: True, 检索: 3.5446s, Rerank: 0.0882s, 生成: 2.5779s, 首字: 6.2829s, Rerank占比(总): 1.40%, Rerank占比(检): 2.43%
题号: professional_law_3, 正确: False, 检索: 3.5867s, Rerank: 0.0840s, 生成: 2.4364s, 首字: 6.1755s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: professional_law_4, 正确: True, 检索: 3.5310s, Rerank: 0.0840s, 生成: 2.4310s, 首字: 6.1146s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_5, 正确: True, 检索: 3.5559s, Rerank: 0.0836s, 生成: 2.4400s, 首字: 6.1488s, Rerank占比(总): 1.36%, Rerank占比(检): 2.30%
题号: professional_law_6, 正确: False, 检索: 3.5383s, Rerank: 0.0851s, 生成: 2.4308s, 首字: 6.1243s, Rerank占比(总): 1.39%, Rerank占比(检): 2.35%
题号: professional_law_7, 正确: True, 检索: 3.5593s, Rerank: 0.0840s, 生成: 2.4371s, 首字: 6.1489s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_8, 正确: False, 检索: 3.5597s, Rerank: 0.0839s, 生成: 2.4296s, 首字: 6.1451s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: professional_law_9, 正确: False, 检索: 3.5689s, Rerank: 0.0847s, 生成: 2.4344s, 首字: 6.1575s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_10, 正确: False, 检索: 3.5682s, Rerank: 0.0845s, 生成: 2.4298s, 首字: 6.1525s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_11, 正确: True, 检索: 3.5703s, Rerank: 0.0849s, 生成: 2.4302s, 首字: 6.1554s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_12, 正确: False, 检索: 3.5367s, Rerank: 0.0844s, 生成: 2.4256s, 首字: 6.1163s, Rerank占比(总): 1.38%, Rerank占比(检): 2.33%
题号: professional_law_13, 正确: False, 检索: 3.5426s, Rerank: 0.0840s, 生成: 2.4341s, 首字: 6.1321s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_14, 正确: True, 检索: 3.5360s, Rerank: 0.0851s, 生成: 2.4581s, 首字: 6.1497s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_15, 正确: False, 检索: 3.5831s, Rerank: 0.0847s, 生成: 2.4425s, 首字: 6.1823s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_16, 正确: False, 检索: 3.5686s, Rerank: 0.0858s, 生成: 2.4583s, 首字: 6.1818s, Rerank占比(总): 1.39%, Rerank占比(检): 2.35%
题号: professional_law_17, 正确: True, 检索: 3.6066s, Rerank: 0.0849s, 生成: 2.4347s, 首字: 6.1961s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: professional_law_18, 正确: False, 检索: 3.5747s, Rerank: 0.0840s, 生成: 2.4339s, 首字: 6.1626s, Rerank占比(总): 1.36%, Rerank占比(检): 2.30%
题号: professional_law_19, 正确: False, 检索: 3.5554s, Rerank: 0.0844s, 生成: 2.4385s, 首字: 6.1479s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_20, 正确: False, 检索: 3.5406s, Rerank: 0.0842s, 生成: 2.4360s, 首字: 6.1309s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_21, 正确: False, 检索: 3.5458s, Rerank: 0.0848s, 生成: 2.4396s, 首字: 6.1405s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_22, 正确: False, 检索: 3.5381s, Rerank: 0.0840s, 生成: 2.4958s, 首字: 6.1890s, Rerank占比(总): 1.36%, Rerank占比(检): 2.32%
题号: professional_law_23, 正确: False, 检索: 4.6568s, Rerank: 0.0870s, 生成: 2.5132s, 首字: 7.3325s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_24, 正确: False, 检索: 4.6170s, Rerank: 0.0874s, 生成: 2.5261s, 首字: 7.3034s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_25, 正确: True, 检索: 4.6111s, Rerank: 0.0863s, 生成: 2.5060s, 首字: 7.2753s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_26, 正确: False, 检索: 4.5989s, Rerank: 0.0865s, 生成: 2.5113s, 首字: 7.2702s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_27, 正确: False, 检索: 4.5781s, Rerank: 0.0867s, 生成: 2.5095s, 首字: 7.2465s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_28, 正确: False, 检索: 4.6323s, Rerank: 0.0877s, 生成: 2.5008s, 首字: 7.2941s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_29, 正确: True, 检索: 4.6596s, Rerank: 0.0870s, 生成: 2.5083s, 首字: 7.3252s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_30, 正确: True, 检索: 4.5983s, Rerank: 0.0874s, 生成: 2.5063s, 首字: 7.2668s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: professional_law_31, 正确: True, 检索: 4.5604s, Rerank: 0.0869s, 生成: 2.5030s, 首字: 7.2248s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: professional_law_32, 正确: True, 检索: 4.5649s, Rerank: 0.0886s, 生成: 2.5069s, 首字: 7.2341s, Rerank占比(总): 1.22%, Rerank占比(检): 1.90%
题号: professional_law_33, 正确: False, 检索: 4.6428s, Rerank: 0.0866s, 生成: 2.5059s, 首字: 7.3084s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_34, 正确: True, 检索: 4.5924s, Rerank: 0.0865s, 生成: 2.5095s, 首字: 7.2592s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_35, 正确: True, 检索: 4.6026s, Rerank: 0.0873s, 生成: 2.5032s, 首字: 7.2654s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_36, 正确: True, 检索: 4.6004s, Rerank: 0.0872s, 生成: 2.5056s, 首字: 7.2676s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_37, 正确: False, 检索: 4.6100s, Rerank: 0.0880s, 生成: 2.5098s, 首字: 7.2798s, Rerank占比(总): 1.21%, Rerank占比(检): 1.87%
题号: professional_law_38, 正确: True, 检索: 4.5717s, Rerank: 0.0871s, 生成: 2.5110s, 首字: 7.2437s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: professional_law_39, 正确: False, 检索: 4.5491s, Rerank: 0.0872s, 生成: 2.5051s, 首字: 7.2133s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_40, 正确: False, 检索: 4.5933s, Rerank: 0.0862s, 生成: 2.5125s, 首字: 7.2651s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_41, 正确: False, 检索: 4.6416s, Rerank: 0.0918s, 生成: 2.5123s, 首字: 7.3200s, Rerank占比(总): 1.25%, Rerank占比(检): 1.94%
题号: professional_law_42, 正确: False, 检索: 4.6023s, Rerank: 0.0859s, 生成: 2.5062s, 首字: 7.2649s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: professional_law_43, 正确: False, 检索: 4.6381s, Rerank: 0.0867s, 生成: 2.5143s, 首字: 7.3111s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_44, 正确: False, 检索: 4.6055s, Rerank: 0.0861s, 生成: 2.5039s, 首字: 7.2670s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
